nds_id	link_name_chn	link_length	road_class	link_type	xy	dir
5127158059403051022	G42沪蓉高速	2719	41000	0	LINESTRING(111.599942 30.742943,111.601278 30.743228,111.602774 30.743576,111.604834 30.744118,111.606824 30.744585,111.608729 30.744971,111.609904 30.745180,111.611041 30.745352,111.612613 30.745572,111.613466 30.745674,111.614635 30.745792,111.615885 30.745899,111.616985 30.745969,111.619077 30.746060,111.620986 30.746108,111.621094 30.746114,111.623009 30.746242,111.624436 30.746377,111.627059 30.746757,111.627869 30.746902)	0
5127158055108083733	G42沪蓉高速	205	41000	0	LINESTRING(111.589492 30.741436,111.590098 30.741543,111.591150 30.741715,111.591600 30.741779)	0
5127159777389969427	G42沪蓉高速	130	41000	0	LINESTRING(111.881762 30.790209,111.882797 30.790971)	0
5127158248381612052	G42沪蓉高速	188	41000	0	LINESTRING(111.650662 30.749885,111.652631 30.749820)	0
5127159824634609667	G42沪蓉高速	330	41000	0	LINESTRING(111.885688 30.793176,111.884766 30.792537,111.884294 30.792199,111.883028 30.791271)	2
5127159777389969429	G42沪蓉高速	143	41000	0	LINESTRING(111.882781 30.791089,111.881638 30.790252)	2
5127159824634609666	G42沪蓉高速	33	41000	0	LINESTRING(111.885812 30.793138,111.886085 30.793326)	0
5127159777389969430	G42沪蓉高速	31	41000	0	LINESTRING(111.883028 30.791271,111.882781 30.791089)	2
5127159824634609668	G42沪蓉高速	28	41000	0	LINESTRING(111.885924 30.793337,111.885688 30.793176)	2
5127156839632338985	G42沪蓉高速	352	41000	0	LINESTRING(111.737754 30.761756,111.739765 30.761885,111.741428 30.761933)	0
5127159798864806029	G42沪蓉高速	397	41000	0	LINESTRING(111.859676 30.780001,111.858469 30.779690,111.856463 30.779223,111.855669 30.779051)	2
